Identyfikator zbioru danych;Organ zgłaszający;TERYT;Usługa pobierania;01.01.1900
PL.PZGiK.1394;Starosta Powiatu Gdańskiego;2204;https://gdanski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.1407;Prezydent Miasta Ostrołęki;1461;https://ostroleka.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1458;Starosta Sokołowski;1429;https://powiat-sokolowski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1832;Starosta Powiatu Częstochowskiego;2404;https://czestochowa.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1956;Starosta Powiatu Radomszczańskiego;1012;https://radomszczanski.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.2006;Prezydent Miasta Wałbrzycha;0265;https://walbrzych-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.2076;Starosta Powiatu Kazimierskiego;2603;https://kazimierzaw.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.2255;Starosta Gliwicki;2405;https://gliwicki.webewid.pl:4443/iip/ows;01.01.1900
PL.PZGiK.2704;Starosta Powiatu Pszczyńskiego;2410;https://pszczynski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.2934;Starosta Zgierski;1020;https://zgierski-wms.webewid.pl:743/iip/ows;01.01.1900
PL.PZGiK.3039;Starosta Nowosądecki;1262;https://wms.nowosadecki.pl/iip/ows;01.01.1900
PL.PZGiK.3040;Starosta Nowosądecki;1210;https://wms.nowosadecki.pl/iip/ows;01.01.1900
PL.PZGiK.3511;Starosta Powiatu Ciechanowskiego;1402;https://ciechanow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.3532;Burmistrz Miasta Cieszyna;240301_1;https://miastocieszyn.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.3633;Starosta Powiatu Bocheńskiego;1201;https://bochenski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.3852;Starosta Powiatu Pajęczańskiego;1009;https://pajeczno.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.3881;Starosta Poddębicki;1011;http://poddebice.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.3913;Starosta Kozienicki;1407;https://kozienicepowiat.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.3974;Starosta Kościański;3011;https://wms.powiatkoscian.pl/koscian-egib;01.01.1900
PL.PZGiK.4026;Starosta Wieruszowski;1018;https://wieruszow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.4395;Prezydent Miasta Tarnowa;1263;https://wms.umt.tarnow.pl/iip/ows;01.01.1900
PL.PZGiK.4438;Starosta Rybnicki;2412;https://rybnik.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.4848;Starosta Tomaszowski;0618;https://tomaszowlubelski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.5018;Starosta Żywiecki;2417;https://zywiecki-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.5073;Starosta Miechowski;1208;https://miechow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.5141;Starosta Bytowski;2201;https://bytowski.webewid.pl:4433/iip/ows;01.01.1900
PL.PZGiK.5673;Prezydent Miasta Sosnowiec;2475;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/2475;01.01.1900
PL.PZGiK.5872;Starosta Powiatu Brzezińskiego;1021;http://brzeziny.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.5939;Starosta Sieradzki;1014;https://sieradz.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.5950;Starosta Powiatu Wołomińskiego;1434;https://wms.epodgik.pl/cgi-bin/wolomin;01.01.1900
PL.PZGiK.5989;Starosta Tarnowski;1216;https://webewid.powiat.tarnow.pl:20443/iip/ows;01.01.1900
PL.PZGiK.6165;Prezydent Miasta Jaworzna;2468;https://jaworzno-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.6196;Starosta Wieluński;1017;https://wielun.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
